1,A++,Xbox,"434,882","8,322,855",105,Battlefield V
2,A++,Ship,"388,528","5,931,123",112,Fortnite
3,A++,TheGrefg,"374,343","31,156,800",89,Fortnite
4,A++,SIEFE,"320,033","4,497,676",111,Tom Clancy's The Division 2
5,A++,JaredFPS,"313,449","3,968,668",123,Battlefield V
6,A++,QueenEliminator,"222,122","2,349,317",113,Call Of Duty: Black Ops 4
7,A++,HypeZoneFortnite,"217,201","11,777,841",100,Fortnite
8,A++,NVAD3,"204,103","2,181,760",117,Fortnite
9,A++,Archonaut,"203,353","2,942,331",112,Battlefield V
10,A++,Phixate,"192,084","2,608,345",109,Web Show
11,A+,ChannelOne,"183,401","19,309,571",115,Web Show
12,A+,Covent,"167,282","2,762,895",116,Web Show
13,A+,PaladinsGame,"160,304","19,009,251",110,Paladins: Champions of the Realm
14,A+,AtlasOfficial,"147,245","1,544,252",114,Grand Theft Auto V
15,A+,ORIGINPC,"142,318","85,512",81,Tom Clancy's The Division 2
16,A+,Xboxinteractive,"141,805","5,588,848",118,Sea of Thieves
17,A+,britni,"139,003","1,765,545",114,Web Show
18,A+,Kabby,"136,498","3,716,542",116,Battlefield V
19,A+,Mystiique,"127,962","1,481,433",109,Fortnite
20,A+,Beautyxskillz,"123,511","1,095,840",103,Fortnite
21,A+,AnthonyDay,"123,207","1,754,951",115,Fortnite
22,A+,AlphaSniper97,"120,532","7,892,599",84,Fortnite
23,A+,bytarifa,"120,187","6,764,473",107,Fortnite
24,A+,Monstercat,"119,095","6,363,573",119,Music
25,A+,Ampeterby7,"118,961","4,917,789",89,Fortnite
