1,A++,T-Series,"91,431,845"
2,A,PewDiePie,"91,420,434"
3,A+,5-Minute Crafts,"52,466,129"
4,A+,Canal KondZilla,"47,977,974"
5,A++,SET India,"44,499,408"
6,B,Justin Bieber,"43,989,135"
7,A++,Cocomelon - Nursery Rhymes,"41,454,014"
8,A+,WWE,"41,068,088"
9,A,Dude Perfect,"40,520,973"
10,B+,HolaSoyGerman.,"38,558,625"
11,A,Ed Sheeran,"37,808,630"
12,A+,Badabun,"37,292,948"
13,B+,EminemMusic,"36,718,174"
14,B+,whinderssonnunes,"35,236,995"
15,B+,Ariana Grande`,"34,271,957"
16,A,elrubiusOMG,"34,232,225"
17,A,JuegaGerman,"34,038,641"
18,A,JustinBieberVEVO,"33,755,855"
19,A+,Zee Music Company,"33,588,857"
20,B-,Katy Perry,"32,727,907"
21,B,Taylor Swift,"32,572,026"
22,A-,Fernanfloo,"32,453,652"
23,A,Marshmello,"31,903,741"
24,B-,Rihanna,"31,546,107"
25,A,Felipe Neto,"31,481,382"
1,A++,ninja,"13,797,228"
2,A++,shroud,"6,056,266"
3,A++,tfue,"5,379,786"
4,A++,tsm_myth,"4,947,801"
5,A++,meclipse,"4,908,770"
6,A++,summit1g,"3,737,594"
7,A++,timthetatman,"3,556,968"
8,A++,dakotaz,"3,552,601"
9,A++,riotgames,"3,498,066"
10,A++,tsm_daequan,"3,440,942"
11,A++,drdisrespect,"3,353,159"
12,A++,drlupo,"3,149,127"
13,A++,esl_csgo,"2,916,279"
14,A++,pokimane,"2,894,111"
15,A+,syndicate,"2,692,076"
16,A++,imaqtpie,"2,559,537"
17,A++,esltv_cs,"2,526,303"
18,A+,nickmercs,"2,512,459"
19,A++,sodapoppin,"2,400,246"
20,A++,lirik,"2,399,356"
21,A++,nightblue3,"2,393,214"
22,A++,lirikk,"2,295,372"
23,A++,loltyler1,"2,274,548"
24,A+,sypherpk,"2,160,783"
25,A+,cdnthe3rd,"1,772,944"
1,A++,katyperry,"107,069,606"
2,A++,BarackObama,"105,372,064"
3,A++,justinbieber,"105,196,625"
4,A++,rihanna,"90,225,691"
5,A++,taylorswift13,"83,211,244"
6,A++,ladygaga,"78,367,313"
7,A++,TheEllenShow,"77,282,252"
8,A++,Cristiano,"77,237,787"
9,A++,YouTube,"71,369,313"
10,A++,jtimberlake,"64,830,550"
11,A++,ArianaGrande,"61,607,044"
12,A++,KimKardashian,"60,174,861"
13,A++,realDonaldTrump,"59,337,326"
14,A++,ddlovato,"57,439,469"
15,A++,selenagomez,"57,335,493"
16,A++,britneyspears,"56,472,598"
17,A+,Twitter,"56,020,634"
18,A+,cnnbrk,"54,936,033"
19,A+,shakira,"51,075,690"
20,A+,jimmyfallon,"50,934,817"
21,A+,BillGates,"46,881,094"
22,A+,narendramodi,"46,592,435"
23,A+,JLo,"43,567,420"
24,A+,nytimes,"43,114,011"
25,A+,neymarjr,"42,780,385"
1,A++ ,therock,"136,464,149"
2,A++ ,neymarjr,"112,823,348"
3,A++ ,leomessi,"112,700,358"
4,A++ ,natgeo,"105,382,855"
5,A++ ,jlo,"90,084,533"
6,A++ ,nike,"86,047,787"
7,A++ ,katyperry,"77,745,406"
8,A++ ,kevinhart4real,"71,626,647"
9,A++ ,realmadrid,"70,197,410"
10,A++ ,theellenshow,"68,730,132"
11,A++ ,fcbarcelona,"67,297,331"
12,A++ ,victoriassecret,"65,495,196"
13,A++ ,9gag,"50,396,544"
14,A++ ,ronaldinho,"43,476,607"
15,A++ ,iamcardib,"42,571,754"
16,A++ ,jamesrodriguez10,"41,111,343"
17,A++ ,nasa,"39,905,562"
18,A++ ,garethbale11,"39,105,018"
19,A++ ,priyankachopra,"37,840,135"
20,A++ ,nikefootball,"37,108,251"
21,A++ ,championsleague,"36,867,122"
22,A++ ,marcelotwelve,"36,613,253"
23,A++ ,anitta,"36,551,687"
24,A++ ,nba,"35,626,543"
25,A++ ,brunamarquezine,"34,477,479"
1,A++,Facebook,NA
2,A++,Real Madrid C.F.,NA
3,A++,Coca-Cola,NA
4,A,Vonvon US,NA
5,A,KFC Sri Lanka,NA
6,A,Disney,NA
7,A,FC Bayern München,NA
8,A,FC Bayern München,NA
9,A-,Windows,NA
10,A-,AVATAR - Singapore,NA
11,A-,Oreo,NA
12,A-,OPPO Mobile Italia,NA
13,A-,adidas,NA
14,A-,L'Oréal Paris,NA
15,A-,Jesus Daily,NA
16,A-,Volkswagen,NA
17,A-,Marvel,NA
18,A-,adidas Originals,NA
19,A-,CNN,NA
20,A-,Sony Pictures,NA
21,A-,Cartoon Network,NA
22,B+,ASUS,NA
23,B+,Levi's,NA
24,B+,Cultura Colectiva,NA
25,B+,Skittles,NA
1,A++,redbull,"54,132"
2,A++,spi0n,"48,205"
3,A++,contvreal,"43,478"
4,A++,humtv,"40,973"
5,A++,watchmojo,"37,011"
6,A++,splashnews,"30,031"
7,A++,karimdebbache,"29,893"
8,A+,got7,"29,478"
9,A+,tjhinnjatngo,"29,279"
10,A+,arynews,"28,103"
11,A+,bangtansubs2,"28,082"
12,A+,techinside,"26,989"
13,A+,sohailshoukat2704,"26,965"
14,A+,cokestudiopakistan,"26,188"
15,A+,jypentertainment,"25,716"
16,A+,fanreviews,"25,005"
17,A+,twiceonair,"24,800"
18,A+,geonews,"22,831"
19,A+,odn,"22,369"
20,A+,smashplus,"21,791"
21,A+,bts,"21,752"
22,A+,arydigitalofficial,"21,739"
23,A+,wochit,"20,957"
24,A+,cbsnews,"20,872"
25,A+,entertainmenttonight,"20,628"
1,A++,Xbox,"434,882"
2,A++,Ship,"388,528"
3,A++,TheGrefg,"374,343"
4,A++,SIEFE,"320,033"
5,A++,JaredFPS,"313,449"
6,A++,QueenEliminator,"222,122"
7,A++,HypeZoneFortnite,"217,201"
8,A++,NVAD3,"204,079"
9,A++,Archonaut,"203,353"
10,A++,Phixate,"192,084"
11,A+,ChannelOne,"183,401"
12,A+,Covent,"167,282"
13,A+,PaladinsGame,"160,304"
14,A+,AtlasOfficial,"147,245"
15,A+,ORIGINPC,"142,318"
16,A+,Xboxinteractive,"141,805"
17,A+,britni,"139,003"
18,A+,Kabby,"136,498"
19,A+,Mystiique,"127,962"
20,A+,Beautyxskillz,"123,511"
21,A+,AnthonyDay,"123,207"
22,A+,AlphaSniper97,"120,532"
23,A+,bytarifa,"120,187"
24,A+,Monstercat,"119,095"
25,A+,Ampeterby7,"118,961"
