1,A++,T-Series,"91,402,283"
2,A,PewDiePie,"91,392,594"
3,A+,5-Minute Crafts,"52,452,995"
4,A+,Canal KondZilla,"47,972,692"
5,A++,SET India,"44,479,170"
6,B,Justin Bieber,"43,985,359"
7,A++,Cocomelon - Nursery Rhymes,"41,428,758"
8,A+,WWE,"41,057,546"
9,A,Dude Perfect,"40,504,858"
10,B+,HolaSoyGerman.,"38,557,415"
11,A,Ed Sheeran,"37,804,617"
12,A+,Badabun,"37,292,948"
13,B+,EminemMusic,"36,714,757"
14,B+,whinderssonnunes,"35,233,847"
15,B+,Ariana Grande`,"34,265,770"
16,A,elrubiusOMG,"34,230,738"
17,A,JuegaGerman,"34,035,693"
18,A,JustinBieberVEVO,"33,755,859"
19,A+,Zee Music Company,"33,573,384"
20,B-,Katy Perry,"32,725,414"
21,B,Taylor Swift,"32,570,653"
22,A-,Fernanfloo,"32,452,460"
23,A,Marshmello,"31,892,837"
24,B-,Rihanna,"31,544,552"
25,A,Felipe Neto,"31,477,494"
1,A++,ninja,"13,796,396"
2,A++,shroud,"6,055,619"
3,A++,tfue,"5,379,311"
4,A++,tsm_myth,"4,947,805"
5,A++,meclipse,"4,908,770"
6,A++,summit1g,"3,737,531"
7,A++,timthetatman,"3,555,336"
8,A++,dakotaz,"3,551,935"
9,A++,riotgames,"3,498,023"
10,A++,tsm_daequan,"3,440,895"
11,A++,drdisrespect,"3,352,727"
12,A++,drlupo,"3,147,761"
13,A++,esl_csgo,"2,916,189"
14,A++,pokimane,"2,894,008"
15,A+,syndicate,"2,692,085"
16,A++,imaqtpie,"2,559,444"
17,A++,esltv_cs,"2,526,303"
18,A+,nickmercs,"2,512,416"
19,A++,sodapoppin,"2,400,096"
20,A++,lirik,"2,398,903"
21,A++,nightblue3,"2,393,224"
22,A++,lirikk,"2,295,372"
23,A++,loltyler1,"2,274,341"
24,A+,sypherpk,"2,159,359"
25,A+,cdnthe3rd,"1,772,958"
1,A++,katyperry,"107,069,606"
2,A++,BarackObama,"105,372,064"
3,A++,justinbieber,"105,196,625"
4,A++,rihanna,"90,225,691"
5,A++,taylorswift13,"83,211,244"
6,A++,ladygaga,"78,367,313"
7,A++,TheEllenShow,"77,282,252"
8,A++,Cristiano,"77,237,787"
9,A++,YouTube,"71,369,313"
10,A++,jtimberlake,"64,830,550"
11,A++,ArianaGrande,"61,607,044"
12,A++,KimKardashian,"60,174,861"
13,A++,realDonaldTrump,"59,337,326"
14,A++,ddlovato,"57,439,469"
15,A++,selenagomez,"57,335,493"
16,A++,britneyspears,"56,472,598"
17,A+,Twitter,"56,020,634"
18,A+,cnnbrk,"54,936,033"
19,A+,shakira,"51,075,690"
20,A+,jimmyfallon,"50,934,817"
21,A+,BillGates,"46,881,094"
22,A+,narendramodi,"46,592,435"
